model,row_index,feature,shap_value,abs_shap_value
logistic_regression,3,porn movie,0.021971574366508893,0.021971574366508893
logistic_regression,3,matter feel,0.021971574366508893,0.021971574366508893
logistic_regression,3,way matter,0.021971574366508893,0.021971574366508893
logistic_regression,3,movie,0.0199403645121677,0.0199403645121677
logistic_regression,3,thing,-0.01534591645919889,0.01534591645919889
logistic_regression,3,don think,0.014952323104494594,0.014952323104494594
logistic_regression,4,don talk,-0.11533305662954782,0.11533305662954782
logistic_regression,4,talk way,-0.09387663276527251,0.09387663276527251
logistic_regression,4,make porn,-0.08788629746603557,0.08788629746603557
logistic_regression,4,porn,-0.08788629746603557,0.08788629746603557
logistic_regression,4,porn movie,-0.08788629746603557,0.08788629746603557
logistic_regression,4,feel friend,-0.08788629746603557,0.08788629746603557
logistic_regression,4,way matter,-0.08788629746603557,0.08788629746603557
logistic_regression,4,matter feel,-0.08788629746603557,0.08788629746603557
logistic_regression,4,movie response,-0.08788629746603557,0.08788629746603557
logistic_regression,4,movie,-0.07976145804867078,0.07976145804867078
logistic_regression,4,response don,-0.07198144331560921,0.07198144331560921
logistic_regression,4,talk,-0.05614753880781352,0.05614753880781352
logistic_regression,4,user want,-0.05613858992857683,0.05613858992857683
logistic_regression,4,make,-0.0517308098122266,0.0517308098122266
logistic_regression,4,feel,0.048593719812829526,0.048593719812829526
logistic_regression,4,matter,0.04250697100574138,0.04250697100574138
logistic_regression,4,friend,-0.04216303976644914,0.04216303976644914
logistic_regression,4,alcohol,0.04104294665521519,0.04104294665521519
logistic_regression,4,want make,-0.040014714425245776,0.040014714425245776
logistic_regression,4,wine,0.03154030351885884,0.03154030351885884
